"位号","值","封装","数量","3D模型","料号","制造商"
"C1,C8","22uF/10V","C0603-L-HD","","${KISYS3DMOD}","",""
"C2,C9","10uF/10V","C0402-L-HD","","${KISYS3DMOD}","",""
"C3,C4,C10,C11","22uF 6.3V","C0603-L-HD","","${KISYS3DMOD}","",""
"C5,C12","HV1C227M0607PZ/220uF/16V","SMT_C_CYLINDER_D_6.3MM","","${KISYS3DMOD}","",""
"C6,C7","1uF/25V","HD-Components.PcbLib:C0402-HD","","${KISYS3DMOD}","",""
"D1,D2","1N5819","SMT_DIODE_SOD_323","","${KISYS3DMOD}","",""
"F1,F2","100mA/6V/PPTC","SMT_FUSE_0805","","${KISYS3DMOD}","",""
"FET1-FET6","WNM4153","SOT-233-HD","","${KISYS3DMOD}","",""
"J1,J6","FH34RH-14S-0.5SH_14P/XKB_X05A10H14T","FH34RH-14S-0.5SH_14P","","${KISYS3DMOD}","",""
"J2,J7","USB3.0_TypeA_SMD","USB-3.0-SMD_U-A-39DS-Y-1","","${KISYS3DMOD}","",""
"J3,J4","HDMI_TYPE_A","CON_HDMI_A_SMD","","${KISYS3DMOD}","",""
"J5","FH34RJ-36S-0.5SH_36P/XKB_X05A10H36T","FH34RJ-36S-0.5SH_36P","","${KISYS3DMOD}","",""
"L1-L8","SDMM0806H-2-900T","SDMM0806","","${KISYS3DMOD}","",""
"R1,R18","120K/1%","R0603-HD","","${KISYS3DMOD}","",""
"R2,R3","4.7K/1%","R0603-HD","","${KISYS3DMOD}","",""
"R4,R5","100K/1%","R0603-HD","","${KISYS3DMOD}","",""
"R6-R17","1.5K/1%","R0603-HD","","${KISYS3DMOD}","",""
"R19","100k","R0603-HD","","${KISYS3DMOD}","",""
"U1,U11","ME1502CM5G","SOT-235-HD","","${KISYS3DMOD}","",""
"U2,U5-U8,U10","PESDALC10N5VU","R-PSON-N10","","${KISYS3DMOD}","",""
"U3,U9","PESD2ETH","SOT-233-HD","","${KISYS3DMOD}","",""
"U4","ME6211C33M5G-N","SOT-235-HD","","${KISYS3DMOD}","",""
